1,111111,Nguyen,Hai,Male,23-12-2005,457382
2,211111,Nguyen,Hong,Female,23-12-2005,427382
3,311111,Tran,Minh,Male,24-12-2005,467382
4,411111,Le,Phuong,Female,25-12-2005,477382
5,511111,Pham,Quang,Male,26-12-2005,487382
6,611111,Nguyen,Anh,Male,27-12-2005,497382
7,711111,Tran,Thu,Female,28-12-2005,507382
8,811111,Le,Tuan,Male,29-12-2005,517382
9,911111,Pham,Linh,Female,30-12-2005,527382
10,101111,Nguyen,Long,Male,31-12-2005,537382
11,111111,Tran,Hoa,Female,01-01-2006,547382
12,121111,Le,Hung,Male,02-01-2006,557382
13,131111,Pham,Trang,Female,03-01-2006,567382
14,141111,Nguyen,Phuc,Male,04-01-2006,577382
15,151111,Tran,Phuong,Female,05-01-2006,587382
16,161111,Le,Thanh,Male,06-01-2006,597382
17,171111,Pham,Huyen,Female,07-01-2006,607382
18,181111,Nguyen,Quan,Male,08-01-2006,617382
19,191111,Tran,Ngoc,Female,09-01-2006,627382
20,201111,Le,Minh,Male,10-01-2006,637382
21,211111,Pham,Anh,Female,11-01-2006,647382
22,221111,Nguyen,Trung,Male,12-01-2006,657382
23,231111,Tran,Thu,Female,13-01-2006,667382
24,241111,Le,Tuan,Male,14-01-2006,677382
25,251111,Pham,Linh,Female,15-01-2006,687382
26,261111,Nguyen,Long,Male,16-01-2006,697382
27,271111,Tran,Hoa,Female,17-01-2006,707382
28,281111,Le,Hung,Male,18-01-2006,717382
29,291111,Pham,Trang,Female,19-01-2006,727382
30,301111,Nguyen,Phuc,Male,20-01-2006,737382
31,311111,Tran,Phuong,Female,21-01-2006,747382
32,321111,Le,Thanh,Male,22-01-2006,757382
33,331111,Pham,Huyen,Female,23-01-2006,767382
34,341111,Nguyen,Quan,Male,24-01-2006,777382
35,351111,Tran,Ngoc,Female,25-01-2006,787382
36,361111,Le,Minh,Male,26-01-2006,797382
37,371111,Pham,Anh,Female,27-01-2006,807382
38,381111,Nguyen,Trung,Male,28-01-2006,817382
39,391111,Tran,Thu,Female,29-01-2006,827382
40,401111,Le,Tuan,Male,30-01-2006,837382
41,411111,Pham,Linh,Female,31-01-2006,847382
42,421111,Nguyen,Long,Male,01-02-2006,857382
43,431111,Tran,Hoa,Female,02-02-2006,867382
44,441111,Le,Hung,Male,03-02-2006,877382
45,451111,Pham,Trang,Female,04-02-2006,887382
46,461111,Nguyen,Phuc,Male,05-02-2006,897382
47,471111,Tran,Phuong,Female,06-02-2006,907382
48,481111,Le,Thanh,Male,07-02-2006,917382
49,491111,Pham,Huyen,Female,08-02-2006,927382
50,501111,Nguyen,Quan,Male,09-02-2006,937382
